Recorder Data Information,Test Reference Number,22_02_21_ETC_TB10_6,Source Frequency,10 Hz,
,Recorder Name,Legislative_Recorder,Destination Frequency,10 Hz,

Sr No,Rec.Index,TimeStamp,ESpeedDemand,SPEED,EngineSpeed,GearSet,RT_GEAR_Fdbk,Clutch_Demand,ETorqueDemand,TORQUE,TorqueDemand,ThrottleDemand,THROTTLESET,THROTTLEFB,CATS_Humidity,CATS_Press,CATS_Temp,T_Oil,POWER obs,Fuel_Flow,FUEL_DENSITY,RT_StepMode,OBD_ENGINERPM,OBD_KMPH,OBD_Abs_Baro_Press,OBD_AbsoluteLoadValue,OBD_AirFlowRate,OBD_Amb_Air_Temp,OBD_AmbientAirTemp,OBD_Cal_Load,OBD_CatalystTemp1,OBD_CatalystTemp2,OBD_Cmd_Evp_Purge,OBD_CommandEGR,OBD_Ctrl_Mode_Voltage,OBD_Dist_Aftr_DTC_Cleared,OBD_EGR_ERROR,OBD_Eng_AirIntak_Temp,OBD_Eng_Cool_Temp,OBD_FA_Smoke,OBD_FuelSystem_Status,OBD_Intak_Manfol_Abs_Press,OBD_KM_MIL_ON,OBD_LTFT_Bank_1,OBD_MIL_STATUS,OBD_No_Of_Warmups,OBD_O2SensorCnt_B2,OBD_OxygenSensor1,OBD_RelativeTrtlPosition,OBD_SecondaryAirStatus,OBD_Standard,OBD_STFT_Bank_1,OBD_Throttle_Position,OBD_Tim_Aftr_DTC_Cleared,OBD_Tim_Aftr_MIL_ON,OBD_TimeSinceEngineStart,OBD_Timing_Advance,Gear_FB_ohm,Current_Gear,STEPMODE,RT_ProgStepIndex,CURSTEPINDEX,
Count= 677,,,RPM,RPM,RPM,--,--,--,Nm,Nm,Nm,%,%,%,%,hPa,°C,°C,kW,Kg/hr,Kg/m³,--,RPM,km/h,kPa,%,g/hr,°C,°C,Nm,°C,°C,%,%,--,km,%,°C,°C,--,--,kPa,km,%,--,--,--,--,%,°,--,%,%,min,min,sec,°,--,--,--,--,--,
39,39,22/02/2021 22:03:38:83,112,112,1649,0,1,0,0.6,0.17,0.00,0.00,0,0.04,65,910.5,23.11,36.750,0.00,0.00,0.000,5,1576,0,#####,#####,#####,0.00,#####,46.71,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-15,1,#####,1,#####,0,0.00,31.00,-4,10,#####,0.00,#####,5.00,88888,0,5,4,4,
40,40,22/02/2021 22:03:38:183,111,112,1649,0,1,0,0.4,0.17,0.00,0.00,10,0.02,65,910.5,23.11,36.740,0.00,0.00,0.000,5,1576,0,#####,#####,#####,0.00,#####,46.71,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-15,1,#####,1,#####,0,0.00,31.00,-4,10,#####,0.00,#####,5.00,88888,0,5,4,4,
41,41,22/02/2021 22:03:38:283,114,111,1622,0,1,10,1.2,0.18,0.00,0.00,10,0.09,65,910.5,23.11,36.740,0.00,0.00,0.000,5,1612,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,5,5,
42,42,22/02/2021 22:03:38:383,118,112,1622,0,1,10,2.2,0.18,0.00,0.00,10,0.17,65,910.5,23.11,36.740,0.00,0.00,0.000,5,1612,0,#####,#####,#####,0.00,#####,45.14,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,5,5,
43,43,22/02/2021 22:03:38:483,122,115,1622,0,1,10,3.2,0.18,0.00,0.00,10,0.25,65,910.5,23.11,36.730,0.00,0.00,0.000,5,1693,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,5,5,
44,44,22/02/2021 22:03:38:583,125,118,1622,0,1,10,4.2,0.17,0.00,0.00,10,0.33,65,910.5,23.11,36.730,0.00,0.00,0.000,5,1693,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,67.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,5,5,
45,45,22/02/2021 22:03:38:683,129,122,1622,0,1,10,5.1,0.16,0.00,0.00,10,0.41,65,910.5,23.11,36.730,0.00,0.00,0.000,5,1671,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-3,10,#####,0.00,#####,5.00,88888,0,5,5,5,
46,46,22/02/2021 22:03:38:783,133,125,1658,0,1,10,6.1,0.16,0.00,0.00,10,0.49,65,910.5,23.11,36.730,0.00,0.00,0.000,5,1671,0,#####,#####,#####,0.00,#####,43.96,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-3,10,#####,0.00,#####,5.00,88888,0,5,5,5,
47,47,22/02/2021 22:03:38:883,136,129,1658,0,1,10,7.1,0.17,0.00,0.00,10,0.57,65,910.5,23.11,36.720,0.00,0.00,0.000,5,1608,0,#####,#####,#####,0.00,#####,45.53,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,5,5,
48,48,22/02/2021 22:03:38:983,140,133,1658,0,1,10,8.1,0.16,0.00,0.00,10,0.64,65,910.5,23.11,36.720,0.00,0.00,0.000,5,1608,0,#####,#####,#####,0.00,#####,45.53,#####,#####,#####,#####,14,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-5,10,#####,0.00,#####,5.00,88888,0,5,5,5,
49,49,22/02/2021 22:03:39:83,143,136,1658,0,1,10,9.0,0.15,0.00,0.00,10,0.73,65,910.5,23.11,36.720,0.00,0.00,0.000,5,1645,0,#####,#####,#####,0.00,#####,44.35,#####,#####,#####,#####,15,#####,#####,34.000,54.00,0.00,2,68.000,7979.0,-14,1,#####,1,#####,0,0.00,31.00,-4,10,#####,0.00,#####,5.00,88888,0,5,5,5,
